X1_um,Y1_um,Z1_um,X2_um,Y2_um,Z2_um
281.6183166,-778.0396652,-281.6183166,-271.0288554,-785.6758665,271.0288554
289.3156343,-798.7721463,-289.3156343,-278.1389524,-806.8230742,278.1389524
297.0206276,-819.4989249,-297.0206276,-285.2412182,-827.9755444,285.2412182
307.3058883,-847.1257491,-307.3058883,-294.6987205,-856.1870142,294.6987205
315.0287833,-867.8391996,-315.0287833,-301.7827057,-877.351741,301.7827057
322.7593469,-888.5469286,-322.7593469,-308.8588531,-898.521711,308.8588531
333.0786905,-916.1483239,-333.0786905,-318.281521,-926.7564837,318.281521
340.8271393,-936.8426806,-340.8271393,-325.3393728,-947.9386652,325.3393728
348.5832498,-957.5312969,-348.5832498,-332.3893804,-969.1260705,332.3893804
358.9366447,-985.1071793,-358.9366447,-341.7771851,-997.3840601,341.7771851
366.7106238,-1005.782379,-366.7106238,-348.8088821,-1018.583632,348.8088821
377.0878359,-1033.340352,-377.0878359,-358.1722656,-1046.857822,358.1722656
384.8796721,-1054.002105,-384.8796721,-365.1856414,-1068.069528,365.1856414
392.6791578,-1074.658085,-392.6791578,-372.191162,-1089.286425,372.191162
403.0903676,-1102.190403,-403.0903676,-381.5196338,-1117.583686,381.5196338
410.9076937,-1122.832892,-410.9076937,-388.5068183,-1138.812673,388.5068183
418.7326623,-1143.469589,-418.7326623,-395.4861413,-1160.046831,395.4861413
429.177838,-1170.976167,-429.177838,-404.779673,-1188.367076,404.779673
437.0206303,-1191.599329,-437.0206303,-411.740645,-1209.613278,411.740645
444.8710578,-1212.216681,-444.8710578,-418.693749,-1230.864632,418.693749
455.3501677,-1239.697435,-455.3501677,-427.9523123,-1259.207775,427.9523123
463.2184023,-1260.301208,-463.2184023,-434.8870505,-1280.471128,434.8870505
471.0942648,-1280.899151,-471.0942648,-441.8139145,-1301.739614,441.8139145
481.607277,-1308.353998,-481.607277,-451.0374811,-1330.105568,451.0374811
489.5009298,-1328.938318,-489.5009298,-457.9459644,-1351.386008,457.9459644
497.4022034,-1349.516791,-497.4022034,-464.8465672,-1372.67156,464.8465672
